dataset_id,dataset_name,institution,year,comparison_group,dataset_mode,modalities,channel_count,multi_channel,sensor_positions,multi_position,sensor_directions,multi_direction,sensor_mounting,position_selection_rationale,position_validation_methods,simultaneous_sampling,synchronized_acquisition,sampling_rates_hz,rpm_conditions,record_duration_seconds,samples_per_record,bearing_internal_compound,bearing_rotor_compound,bearing_gear_compound,multiple_bearing_types,variable_rpm,load_variation,artificial_fault,natural_fault,run_to_failure,raw_available,metadata_available,validation_methods,file_formats,official_url,survey_status,verification_status
uos_v1,UOS v1,University of Seoul,2024,direct,batch=Yes; run_to_failure=No; variable_speed=Yes,vibration acceleration,1,No,top of shaft-end bearing housing,No,uniaxial; exact axis orientation not stated,No,magnetic stud,Unknown,Unknown,Unknown,Unknown,8000; 16000,600; 800; 1000; 1200; 1400; 1600,80; 160,1280000,No,Yes,No,Yes,Yes,Unknown,Yes,No,No,Yes,Yes,"accelerometer range and finite-value checks; visual noise inspection in raw and frequency-domain signals; envelope spectrum check for BPFI, BPFO, and BSF; peak and RMS comparison between machine-fault and healthy data",MAT,https://data.mendeley.com/datasets/53vtnjy6c6,draft_complete,needs_review
cwru,CWRU,Case Western Reserve University,Unknown,canonical,batch=Yes; run_to_failure=No; variable_speed=Yes,vibration acceleration,3,Yes,drive-end motor housing at 12 o'clock; fan-end motor housing at 12 o'clock; motor supporting base plate in some experiments,Yes,Unknown,Unknown,magnetic bases,Acceleration measured near to and remote from motor bearings; base plate included in some experiments,Unknown,Unknown,Unknown,12000; 48000,approximately 1720-1797,Unknown,Unknown,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Unknown,MAT,https://engineering.case.edu/bearingdatacenter,draft_complete,needs_review
paderborn,Paderborn University,Paderborn University,2016,direct,batch=Yes; run_to_failure=No; variable_speed=Yes,vibration acceleration; motor phase current,1,No,adapter at top end of rolling-bearing test module; vibration of inner housing holding test bearing,No,main direction of radial load,No,Unknown,Adapter measures the inner test-bearing housing in the main radial-load direction,envelope spectra checked against calculated outer- and inner-race characteristic frequencies,Unknown,Yes,64000,900; 1500,4,256000,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,vibration envelope analysis against BPFO and BPFI with harmonics and sidebands; data-driven classification using vibration and motor-current features,MAT,http://mb.uni-paderborn.de/kat/datacenter,draft_complete,needs_review
xjtu_sy,XJTU-SY,Xi'an Jiaotong University and Changxing Sumyoung Technology Co. Ltd.,Unknown,partial,batch=No; run_to_failure=Yes; variable_speed=Yes,vibration acceleration,2,Yes,tested bearing housing,No,horizontal; vertical,Yes,placed on tested bearing housing at 90 degrees; attachment method Unknown,Horizontal direction aligns with applied load and is reported to capture more degradation information,source selects horizontal signal for RUL estimation based on load direction and observed degradation information,Unknown,Yes,25600,2100; 2250; 2400,1.28,32768,Unknown,No,No,No,Yes,Unknown,No,Yes,Yes,Yes,Yes,run-to-failure degradation trajectory and endpoint photographs; vibration amplitude threshold above 20 g defines failure time for safety,Unknown,Unknown,draft_complete,needs_review
nasa_ims,NASA IMS,NSF I/UCR Center for Intelligent Maintenance Systems University of Cincinnati; hosted by NASA PCoE,Unknown,partial,batch=No; run_to_failure=Yes; variable_speed=No,vibration acceleration,8 in Set 1; 4 in Sets 2 and 3,Yes,bearing 1 housing; bearing 2 housing; bearing 3 housing; bearing 4 housing,Yes,x and y in Set 1; one direction per bearing in Sets 2 and 3; direction Unknown,Yes,installed on bearing housings; attachment method Unknown,Four bearing housings along the common shaft are monitored; explicit comparative rationale Unknown,Unknown,Unknown,Yes,20000,2000,1 as stated in README; 1.024 implied by 20480 samples at 20000 Hz,20480,Yes,No,No,No,No,Unknown,No,Yes,Yes,Yes,Yes,post-test component inspection; wavelet-filter periodicity compared with BPFO; full-life RMS and kurtosis trends,ASCII text,https://data.nasa.gov/dataset/ims-bearings,draft_complete,needs_review
mafaulda,MAFAULDA,COPPE/Poli/UFRJ,2016,direct,batch=Yes; run_to_failure=No; variable_speed=Yes,vibration acceleration; acoustic; tachometer,8,Yes,underhang bearing; overhang bearing; acoustic measurement position Unknown; tachometer position Unknown,Yes,axial; radial; tangential,Yes,Unknown,Both bearing positions are measured in axial radial and tangential directions; explicit comparative rationale Unknown,Unknown,Unknown,Yes,50000,737-3686,5,250000,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,rotational frequency and first two harmonics used as classification features; one-versus-two bearing sensor-set feature comparison with ANN,CSV,https://www02.smt.ufrj.br/~offshore/mfs/page_01.html,draft_complete,needs_review
arkansas_2023,University of Arkansas 2023,University of Arkansas,2023,direct,batch=Yes; run_to_failure=No; variable_speed=Yes,vibration acceleration,8,Yes,motor; bearing 1 housing; bearing 2 housing; gearbox housing,Yes,x; y; z; two gearbox directions; exact axes Unknown,Yes,Unknown,Sensors cover both bearing housings in three perpendicular directions and gearbox housing in two directions; explicit comparative rationale Unknown,Unknown,Unknown,Yes,6400,25; 50; 75,10,64000,Yes,Yes,No,No,Yes,Unknown,Yes,No,No,Yes,Yes,Unknown,CSV,https://doi.org/10.6084/m9.figshare.22693120.v1,draft_complete,needs_review
ottawa_2018,Ottawa 2018,University of Ottawa,2018,partial,batch=Yes; run_to_failure=No; variable_speed=Yes,vibration acceleration; rotational speed,2,Yes,experimental bearing housing,No,accelerometer direction Unknown,No,accelerometer placed on experimental bearing housing; attachment method Unknown,Unknown,Unknown,Unknown,Yes,200000,approximately 588-1740 RPM across time-varying records,10,2000000,No,No,No,No,Yes,Unknown,Unknown,Unknown,No,Yes,Yes,bearing geometry and BPFI/BPFO order coefficients documented,MAT,https://doi.org/10.17632/v43hmbwxpm,draft_complete,needs_review
ottawa_2023,Ottawa 2023,University of Ottawa,2023,direct,batch=Yes; run_to_failure=Partial; variable_speed=No,vibration acceleration; acoustic; rotational speed; load; temperature,5,Yes,motor drive-end bearing,No,accelerometer direction Unknown,No,accelerometer magnetically mounted directly on drive-end bearing inside altered motor casing; microphone independently supported within 2 cm,Inside-casing bearing mounting was selected to reduce noise relative to outside motor casing,inside-versus-outside accelerometer placement tested qualitatively for noise reduction,Unknown,Yes,42000,1750,10,420000,No,No,No,No,No,Yes,No,Yes,Partial,Yes,Yes,visual fault identification; FFT inspection for fault-type validation; qualitative inside-versus-outside sensor placement comparison,MAT; XLSX; CSV; PNG,https://doi.org/10.17632/y2px5tg92h,draft_complete,needs_review
pronostia,PRONOSTIA / FEMTO-ST,FEMTO-ST Institute,2012,partial,batch=No; run_to_failure=Partial; variable_speed=Yes,vibration acceleration; temperature; rotational speed; radial force; torque,6,Yes,tested bearing outer race,No,horizontal; vertical,Yes,two accelerometers placed radially on tested-bearing outer race at 90 degrees; attachment method Unknown; PT100 probe placed in a hole near the outer ring,Horizontal and vertical directions monitor radial vibration at the loaded test bearing; explicit comparative rationale Unknown,Unknown,Unknown,Yes,25600 for acceleration; 10 for temperature; 100 for speed force and torque,1800; 1650; 1500,Unknown,Unknown,Yes,No,No,No,Yes,Unknown,No,Yes,Partial,Yes,Yes,PSD K-factor crest factor and wavelet-packet degradation features; post-experiment visual comparison of normal and degraded bearing; comparison against bearing life and characteristic-frequency models with reported mismatch,Unknown,https://hal.science/hal-00719503,draft_complete,needs_review
kaist_batch,KAIST Batch,Korea Advanced Institute of Science and Technology,2023,direct,batch=Yes; run_to_failure=No; variable_speed=Yes,vibration acceleration; acoustic; temperature; motor current; rotational speed,4,Yes,bearing housing A; bearing housing B,Yes,x; y,Yes,Unknown,Two bearing housings in x and y directions based on ISO 10816-1:1995,Unknown,Yes,Partial,25600; 51200; 100000,3010; 680-2460 varying,60; 120; 300; 600; 2100,Unknown,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,seeded-fault photographs and dimensions; bearing characteristic-frequency equations and calculated values; representative time series and spectrograms,MAT; TDMS; CSV,https://doi.org/10.17632/ztmf3m7h5x,draft_complete,needs_review
hust_vietnam,HUST bearing,Hanoi University of Science and Technology,2023,direct,batch=Yes; run_to_failure=No; variable_speed=Partial,vibration acceleration,1,No,bearing or bearing housing exact surface Unknown,No,vertical,No,Unknown,Unknown,Unknown,Unknown,Unknown,51200,Unknown,5; 10,512000,Yes,No,No,No,Partial,Yes,Yes,No,No,Yes,Yes,nominal crack width documentation; bearing geometry documentation; defect images supplied in repository,MAT,https://doi.org/10.17632/cbv7jyx4p9,draft_complete,needs_review
seu,SEU drivetrain dynamic simulator dataset,Southeast University; repository hosted by University of California Irvine,2019,partial,batch=Yes; run_to_failure=No; variable_speed=No,vibration signal exact sensor specification Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,No,No,No,Yes,Unknown,Unknown,No,Unknown,Unknown,downstream transfer-learning classification and cross-validation,Unknown,http://mlmechanics.ics.uci.edu,draft_complete,needs_review
hust_china_bearing,HUSTbearing,Huazhong University of Science and Technology,2022,partial,batch=Yes; run_to_failure=No; variable_speed=Yes,vibration acceleration,Unknown,Unknown,near tested bearing; exact position Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,25600,1200; 1500; 1800; 2100; 2400; 3600; 3900; 4200; 4500; 4800; 0-2400-0 time-varying equivalent if Hz denotes shaft rotational frequency,10.2,262144,Yes,No,No,No,Yes,Unknown,Yes,No,No,Yes,Yes,downstream domain-generalization benchmark across working conditions,Excel,https://github.com/CHAOZHAO-1/HUSTbearing-dataset,draft_complete,needs_review
s1_data,S1 Data — Original diagnosis signal at 2000 rpm,Harbin University of Science and Technology and collaborating institutions,2024,direct,batch=Yes; run_to_failure=No; variable_speed=No,vibration acceleration,5,Yes,support-bearing housing; faulty-bearing housing surface; gearbox casing,Yes,support-bearing uniaxial direction Unknown; faulty-bearing uniaxial direction Unknown; gearbox three-way axes exact coordinate labels Unknown,Yes,Unknown,"The locations represent the support bearing, tested bearing, and gearbox transmission path; exact comparative rationale Unknown",transmission-path analysis between the faulty bearing and gearbox casing,Unknown,Unknown,12000,2000,1 by calculation from 12000 points at 12000 Hz,12000,Yes,No,No,No,No,Unknown,Yes,No,No,Yes,Partial,bearing and gearbox characteristic-frequency calculation from geometry; time-domain and envelope-spectrum analysis of three pairwise and one triple internal compound fault; transmission-path and interference-component analysis,ZIP archive; internal signal format Unknown,https://doi.org/10.1371/journal.pone.0297935,draft_complete,needs_review
mcc5_thu,MCC5-THU Multi-mode Fault Diagnosis Datasets of Gearbox Under Variable Working Conditions,MCC5 Group Shanghai and Tsinghua University,2024,partial,batch=Yes; run_to_failure=No; variable_speed=Yes,vibration acceleration; rotational speed key-phase; torque,8,Yes,motor drive end; gearbox intermediate-shaft bearing seat; motor output shaft speed-sensor position; gearbox input shaft torque-sensor position,Yes,axial; horizontal; vertical,Yes,Unknown,Motor drive end and faulty gearbox intermediate-shaft bearing seat are monitored; explicit comparative rationale Unknown,Unknown,Unknown,Yes,12800,1000 fixed during time-varying-load tests; 2000 fixed during time-varying-load tests; 3000 fixed during time-varying-load tests; time-varying speed curves from zero to commanded levels including 1000 2000 2500 and 3000 RPM,60,768000 per channel by calculation from 12800 Hz and 60 s,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,missing-tooth example envelope spectrum with rotational gear-mesh and sideband frequencies; actual speed key-phase and torque measurement under time-varying commands; documented fault geometry and three severity levels,CSV,https://doi.org/10.17632/p92gj2732w.1,draft_complete,needs_review
