dataset_id,dataset_name,institution,approx_year,priority,comparison_group,dedicated_dataset_paper,local_sources_ready,survey_status,verification_status,notes
uos_v1,UOS v1,University of Seoul,2024,P0,direct,Yes,Yes,draft_complete,needs_review,Original paper reviewed; official repository metadata requires independent verification
cwru,CWRU,Case Western Reserve University,Unknown,P1,canonical,Unknown,Yes,draft_complete,needs_review,Official institutional documentation reviewed; release year license record length and timing metadata remain Unknown
paderborn,Paderborn University,Paderborn University,2016,P1,direct,Yes,Yes,draft_complete,needs_review,Original paper reviewed; official repository documentation and deposited schema require verification
xjtu_sy,XJTU-SY,Xi'an Jiaotong University and Changxing Sumyoung Technology Co. Ltd.,Unknown,P1,partial,No,Yes,draft_complete,needs_review,Original prognostics paper and supplied official README reviewed; release license raw schema endpoint labels and hardware timing require verification
nasa_ims,NASA IMS,University of Cincinnati IMS; hosted by NASA PCoE,2003-2004,P1,partial,No,Yes,draft_complete,needs_review,Official README original paper and NASA catalog metadata reviewed; duration cadence timing mounting and license applicability need review
mafaulda,MAFAULDA,COPPE/Poli/UFRJ,2016,P1,direct,No,Yes,draft_complete,needs_review,Original 2016 paper and official web documentation reviewed; license raw schema version difference and hardware timing require verification
arkansas_2023,University of Arkansas 2023,University of Arkansas,2023,P1,direct,Yes,Yes,draft_complete,needs_review,Raw archive audited; article/header channel conflict bearing specification mounting and hardware timing require verification
ottawa_2018,Ottawa 2018,University of Ottawa,2018,P1,partial,Yes,Yes,draft_complete,needs_review,Dedicated paper reviewed; fault generation load mounting sampling rationale timing repository label and license require verification
ottawa_2023,Ottawa 2023,University of Ottawa,2023,P1,direct,Yes,Yes,draft_complete,needs_review,Dedicated paper reviewed; repository license raw schema label typo ADC timing and lifecycle-file availability require verification
pronostia,PRONOSTIA / FEMTO-ST,FEMTO-ST Institute,2012,P1,partial,Yes,Yes,draft_complete,needs_review,Original platform paper reviewed; official README schema bearing geometry stopping criterion hardware timing endpoint damage and license require verification
kaist_batch,KAIST Batch,Korea Advanced Institute of Science and Technology,2023,P2,direct,Yes,Yes,draft_complete,needs_review,Dedicated paper reviewed; repository license raw consistency exact mounting cross-device timing and NI module-role conflict require verification
hust_vietnam,HUST bearing,Hanoi University of Science and Technology,2023,P2,direct,Yes,Yes,draft_complete,needs_review,Dedicated Data Note reviewed; repository manifest exact RPM mounting timing defect-depth consistency and license require verification
seu,SEU drivetrain dynamic simulator dataset,Southeast University,2019,P2,partial,No,Yes,draft_complete,needs_review,Application paper reviewed; official repository acquisition setup raw schema persistent access and license require verification
hust_china_bearing,HUSTbearing,Huazhong University of Science and Technology,2022,P2,partial,No,Yes,draft_complete,needs_review,Main benchmark paper and official HUSTbearing repository README reviewed; raw Excel schema license hardware details and Appendix B task mappings still need verification
